actualTime;quantity
1.48047;1
2.09136;2
2.10563;3
2.11087;4
2.15221;5
2.17646;6
2.18942;7
2.21074;8
2.27366;9
2.29111;10
2.34339;11
2.3519;12
2.38344;13
2.39863;14
2.48497;15
2.4866;16
2.51449;17
2.51764;18
2.5282;19
2.53579;20
2.64766;21
2.67755;22
2.69022;23
2.69238;24
2.69636;25
2.71856;26
2.72387;27
2.75156;28
2.76065;29
2.76454;30
2.77956;31
2.78055;32
2.80775;33
2.81984;34
2.83995;35
2.91077;36
2.91778;37
2.95442;38
2.97166;39
2.97644;40
2.97755;41
2.98212;42
2.98794;43
2.99643;44
3.00839;45
3.02409;46
3.03296;47
3.04139;48
3.04378;49
3.04914;50
3.06027;51
3.07519;52
3.09391;53
3.11152;54
3.11459;55
3.13599;56
3.14357;57
3.16912;58
3.19878;59
3.20327;60
3.20892;61
3.21064;62
3.2126;63
3.21534;64
3.24689;65
3.2718;66
3.28083;67
3.28841;68
3.3023;69
3.32262;70
3.32444;71
3.33507;72
3.34939;73
3.35356;74
3.36018;75
3.38291;76
3.3945;77
3.41936;78
3.43866;79
3.45962;80
3.46552;81
3.50096;82
3.51471;83
3.54714;84
3.56944;85
3.57058;86
3.57751;87
3.58588;88
3.59916;89
3.59952;90
3.60023;91
3.6004;92
3.60453;93
3.6241;94
3.62513;95
3.63249;96
3.63754;97
3.64083;98
3.64304;99
3.65083;100
3.67232;101
3.68357;102
3.69359;103
3.69921;104
3.70719;105
3.71579;106
3.72278;107
3.72925;108
3.74426;109
3.76824;110
3.76986;111
3.78064;112
3.7897;113
3.82349;114
3.82488;115
3.8391;116
3.84328;117
3.85511;118
3.85844;119
3.85968;120
3.85988;121
3.86387;122
3.8649;123
3.87185;124
3.88379;125
3.89884;126
3.91085;127
3.92585;128
3.92886;129
3.93921;130
3.94047;131
3.94131;132
3.95007;133
3.95401;134
3.95464;135
3.95976;136
3.96047;137
3.97367;138
3.99283;139
4.00116;140
4.01415;141
4.01733;142
4.01878;143
4.05055;144
4.05944;145
4.07527;146
4.0806;147
4.10393;148
4.10438;149
4.11566;150
4.11989;151
4.1219;152
4.14183;153
4.14204;154
4.1557;155
4.1669;156
4.18378;157
4.18453;158
4.20105;159
4.20121;160
4.20161;161
4.21711;162
4.22876;163
4.23433;164
4.23616;165
4.24075;166
4.25969;167
4.27393;168
4.28469;169
4.28672;170
4.31192;171
4.31264;172
4.31937;173
4.32268;174
4.32314;175
4.32908;176
4.35593;177
4.36075;178
4.36148;179
4.3736;180
4.38285;181
4.39715;182
4.39985;183
4.4038;184
4.43282;185
4.43318;186
4.45051;187
4.45223;188
4.45513;189
4.47133;190
4.48278;191
4.48839;192
4.48998;193
4.49174;194
4.51481;195
4.52743;196
4.56973;197
4.56989;198
4.57563;199
4.58261;200
4.58736;201
4.60698;202
4.61154;203
4.61559;204
4.61813;205
4.62559;206
4.63552;207
4.63919;208
4.64195;209
4.64688;210
4.6499;211
4.65405;212
4.6662;213
4.66869;214
4.66887;215
4.67118;216
4.68306;217
4.68442;218
4.68786;219
4.70206;220
4.70504;221
4.7065;222
4.71062;223
4.71228;224
4.71392;225
4.72135;226
4.72629;227
4.73353;228
4.73445;229
4.74907;230
4.75067;231
4.75463;232
4.76257;233
4.76843;234
4.7792;235
4.78071;236
4.78693;237
4.78785;238
4.78939;239
4.799;240
4.80005;241
4.80056;242
4.80398;243
4.81028;244
