clusterID;selfID;representativenessValue;actualTime
1;358;0.0326473;16.4805
2;274;0.3066;16.4805
3;40;0.0176586;16.4805
4;15;0.168914;16.4805
5;186;0.0128223;16.4805
6;239;0.424414;16.4805
7;130;1.00005;16.4805
8;50;0.00851668;16.4805
9;139;0.0702626;16.4805
10;460;0.00567779;16.4805
11;192;0.00615093;16.4805
12;309;0.0170334;16.4805
13;199;0.0406908;16.4805
14;237;0.0425834;16.4805
15;152;0.0212917;16.4805
16;161;0.168914;16.4805
17;376;0.0225692;16.4805
18;63;0.0420765;16.4805
19;420;0.000473149;16.4805
20;305;0.00686066;16.4805
21;414;0.00496806;16.4805
22;268;0.0851668;16.4805
23;142;0.0212917;16.4805
24;266;0.0298084;16.4805
25;44;0.0134847;16.4805
26;417;0;16.4805
27;123;0.00993613;16.4805
28;373;0.00709723;16.4805
29;189;0.0283889;16.4805
30;327;0.00425834;16.4805
31;29;0.0184528;16.4805
32;213;0;16.4805
33;207;0.0172699;16.4805
34;55;0.00283889;16.4805
35;39;0.00425834;16.4805
1;5;1;31.4805
2;274;0.00515462;31.4805
3;151;0.0111207;31.4805
4;407;0.00871794;31.4805
5;1;0.00828153;31.4805
6;471;0.00634102;31.4805
7;177;0.00199819;31.4805
8;307;0.000222302;31.4805
1;537;0.0323026;46.4805
2;247;1;46.4805
3;54;0.0808806;46.4805
4;566;0.0217823;46.4805
5;362;0.0370203;46.4805
6;415;0.000265869;46.4805
7;90;0.000496004;46.4805
1;166;1;61.4805
2;198;0.0147203;61.4805
3;564;0.000186659;61.4805
4;647;0.00248752;61.4805
5;597;0.000216343;61.4805
6;362;0.00202687;61.4805
1;21;0.0126065;76.4805
2;166;1;76.4805
3;229;0.0121417;76.4805
4;138;0.897429;76.4805
5;521;0.0877906;76.4805
6;429;0.00228474;76.4805
7;297;0.00339525;76.4805
8;370;5.87601e-05;76.4805
1;275;1;91.4805
2;296;0.00158512;91.4805
3;647;0.00122451;91.4805
4;297;0.00166994;91.4805
5;429;0.00112488;91.4805
6;436;8.39072e-05;91.4805
1;561;0.00223228;106.48
2;690;0.142964;106.48
3;275;1;106.48
4;570;0.433595;106.48
5;155;0.166252;106.48
6;138;0.441832;106.48
7;728;0.00353631;106.48
8;112;0.000345715;106.48
9;600;0.0630172;106.48
10;296;0.00158495;106.48
11;429;0.00112535;106.48
12;726;0.0626489;106.48
13;229;0.00597141;106.48
1;447;0.35979;121.48
2;275;1;121.48
3;261;0.0371207;121.48
4;119;0.00384644;121.48
5;223;0.00662588;121.48
6;157;0.000373244;121.48
7;75;0.0798397;121.48
1;233;0.752325;136.48
2;145;0.235194;136.48
3;275;1;136.48
4;598;0.123308;136.48
5;36;0.0770284;136.48
6;143;0.004058;136.48
7;712;0.0452769;136.48
8;13;0.560019;136.48
9;75;0.0798342;136.48
10;119;0.00384617;136.48
11;157;0.000373244;136.48
12;636;0.0886022;136.48
13;376;0.0336967;136.48
1;451;0.941218;151.48
2;233;0.752325;151.48
3;145;0.235194;151.48
4;275;1;151.48
5;767;0.024927;151.48
6;103;0.0274187;151.48
7;12;0.12438;151.48
8;668;0.0528544;151.48
9;75;0.0798342;151.48
10;606;0.120049;151.48
11;604;0.0684011;151.48
12;600;0.0619013;151.48
13;561;0.002179;151.48
14;523;0.0086738;151.48
15;162;0.145462;151.48
1;451;0.941316;166.48
2;233;0.752325;166.48
3;686;0.130119;166.48
4;275;1;166.48
5;606;0.120049;166.48
6;536;0.788383;166.48
7;138;0.494433;166.48
8;668;0.0528544;166.48
9;75;0.0798342;166.48
10;561;0.00217914;166.48
11;203;0.0304498;166.48
12;185;0.00315587;166.48
13;162;0.145462;166.48
14;764;0.0586452;166.48
15;109;0.0620771;166.48
1;275;1;181.48
2;233;0.75231;181.48
3;686;0.130118;181.48
4;101;0.476168;181.48
5;536;0.788371;181.48
6;299;0.501362;181.48
7;374;0.117374;181.48
8;36;0.0770371;181.48
9;499;0.00160212;181.48
10;185;0.00315596;181.48
11;162;0.145459;181.48
1;275;1;196.48
2;686;0.13009;196.48
3;233;0.752139;196.48
4;101;0.476059;196.48
5;175;0.472638;196.48
6;749;0.367234;196.48
7;299;0.501247;196.48
8;138;0.494462;196.48
9;536;0.788191;196.48
10;327;0.0181725;196.48
11;162;0.145426;196.48
12;410;0.0265028;196.48
13;285;0.216763;196.48
1;275;1;211.48
2;614;0.227243;211.48
3;42;0.221762;211.48
4;534;0.559344;211.48
5;155;0.162808;211.48
6;233;0.751972;211.48
7;303;0.0282779;211.48
8;749;0.367153;211.48
