clusterID;selfID;representativenessValue;actualTime
1;391;0.0666667;16.4805
2;434;0.0111111;16.4805
3;216;0.0666667;16.4805
4;15;0.0169492;16.4805
5;334;0.1;16.4805
6;212;0.00740741;16.4805
7;20;0.00350877;16.4805
8;50;0.125;16.4805
9;139;0.04;16.4805
10;261;0.142857;16.4805
11;313;0.125;16.4805
12;309;0.111111;16.4805
13;199;0.047619;16.4805
14;453;0.0454545;16.4805
15;152;0.1;16.4805
16;177;0.015625;16.4805
17;376;0.0714286;16.4805
18;63;0.0434783;16.4805
19;420;0.25;16.4805
20;305;0.142857;16.4805
21;414;0.2;16.4805
22;217;0.0294118;16.4805
23;142;0.0909091;16.4805
24;172;0.0588235;16.4805
25;421;0.0833333;16.4805
26;417;0.2;16.4805
27;81;0.1;16.4805
28;373;0.166667;16.4805
29;189;0.0714286;16.4805
30;327;0.333333;16.4805
31;118;0.1;16.4805
32;213;0.333333;16.4805
33;207;0.111111;16.4805
34;55;0.333333;16.4805
35;39;0.333333;16.4805
1;451;0.000133887;31.4805
2;278;0.0238095;31.4805
3;489;0.00609756;31.4805
4;633;0.00740741;31.4805
5;352;0.0357143;31.4805
6;580;0.0454545;31.4805
7;261;0.111111;31.4805
1;260;0.00308642;46.4805
2;126;0.000130685;46.4805
3;729;0.333333;46.4805
4;246;0.0434783;46.4805
5;511;0.047619;46.4805
6;472;0.2;46.4805
1;554;0.0022779;61.4805
2;5;0.000174795;61.4805
3;490;0.05;61.4805
4;593;0.125;61.4805
5;725;0.0147059;61.4805
6;293;0.0104167;61.4805
7;601;0.333333;61.4805
8;539;0.0666667;61.4805
1;336;0.0625;76.4805
2;390;0.0833333;76.4805
3;760;0.000131909;76.4805
4;344;0.00291545;76.4805
5;461;0.0555556;76.4805
6;386;0.0625;76.4805
1;115;0.000112347;91.4805
2;79;0.0285714;91.4805
3;539;0.0588235;91.4805
4;508;0.0526316;91.4805
5;472;0.142857;91.4805
1;129;0.00230947;106.48
2;606;0.000365898;106.48
3;643;0.00104712;106.48
4;288;0.0222222;106.48
5;472;0.111111;106.48
6;500;0.125;106.48
7;230;0.125;106.48
8;522;0.2;106.48
9;605;0.25;106.48
10;386;0.0555556;106.48
1;684;0.00980392;121.48
2;644;0.000191168;121.48
3;55;0.0138889;121.48
4;539;0.0588235;121.48
5;422;0.125;121.48
6;489;0.0555556;121.48
7;472;0.142857;121.48
8;499;0.0227273;121.48
1;633;0.0022779;136.48
2;684;0.00578035;136.48
3;171;0.00641026;136.48
4;133;0.00185874;136.48
5;746;0.00763359;136.48
6;138;0.00675676;136.48
7;281;0.0120482;136.48
8;592;0.00458716;136.48
9;386;0.0555556;136.48
10;499;0.0769231;136.48
11;561;0.333333;136.48
12;265;0.047619;136.48
13;492;0.1;136.48
14;422;0.333333;136.48
15;296;0.333333;136.48
1;334;0.00071582;151.48
2;425;0.00190114;151.48
3;659;0.0285714;151.48
4;746;0.00757576;151.48
5;539;0.0588235;151.48
6;580;0.04;151.48
7;264;0.0151515;151.48
8;738;0.0294118;151.48
9;662;0.0212766;151.48
10;624;0.0625;151.48
11;411;0.1;151.48
12;265;0.0454545;151.48
13;231;0.166667;151.48
14;361;0.166667;151.48
15;492;0.0909091;151.48
16;508;0.0588235;151.48
17;353;0.125;151.48
1;611;0.000646831;166.48
2;740;0.0357143;166.48
3;571;0.00757576;166.48
4;539;0.05;166.48
5;592;0.00225734;166.48
6;580;0.04;166.48
7;70;0.0333333;166.48
8;653;0.0222222;166.48
9;619;0.25;166.48
10;561;0.1;166.48
11;265;0.0434783;166.48
12;489;0.0833333;166.48
13;353;0.125;166.48
14;328;0.333333;166.48
15;231;0.2;166.48
1;296;0.00144509;181.48
2;761;0.000911577;181.48
3;686;0.0185185;181.48
4;201;0.0263158;181.48
5;471;0.0178571;181.48
6;457;0.0416667;181.48
7;671;0.333333;181.48
8;424;0.0625;181.48
9;472;0.0144928;181.48
10;539;0.0625;181.48
11;353;0.1;181.48
12;429;0.125;181.48
1;78;0.000985222;196.48
2;740;0.0232558;196.48
3;779;0.05;196.48
4;317;0.00408163;196.48
5;770;0.0555556;196.48
6;681;0.025641;196.48
7;471;0.0166667;196.48
8;172;0.0384615;196.48
9;255;0.00990099;196.48
10;500;0.0227273;196.48
11;348;0.0714286;196.48
12;353;0.0909091;196.48
13;394;0.333333;196.48
14;359;0.2;196.48
1;667;0.000997009;211.48
2;717;0.00970874;211.48
3;714;0.0116279;211.48
4;642;0.0212766;211.48
5;372;0.0222222;211.48
6;792;0.25;211.48
7;97;0.0149254;211.48
8;547;0.0243902;211.48
9;770;0.0666667;211.48
10;617;0.125;211.48
11;492;0.0416667;211.48
12;675;0.333333;211.48
13;539;0.0588235;211.48
14;196;0.0909091;211.48
1;681;0.047619;226.48
2;659;0.0416667;226.48
3;546;0.0204082;226.48
4;56;0.0204082;226.48
5;255;0.00862069;226.48
6;103;0.00485437;226.48
7;702;0.1;226.48
8;403;0.00571429;226.48
9;770;0.0666667;226.48
10;664;0.0526316;226.48
11;547;0.030303;226.48
12;539;0.0588235;226.48
13;438;0.047619;226.48
14;353;0.1;226.48
15;179;0.1;226.48
16;331;0.25;226.48
1;780;0.0526316;241.48
2;782;0.05;241.48
3;731;0.00520833;241.48
4;678;0.0243902;241.48
5;608;0.00909091;241.48
6;315;0.0833333;241.48
7;652;0.00398406;241.48
8;475;0.037037;241.48
9;664;0.0555556;241.48
10;457;0.0384615;241.48
11;268;0.1;241.48
12;589;0.0714286;241.48
13;438;0.0555556;241.48
14;539;0.0625;241.48
15;353;0.0833333;241.48
16;179;0.1;241.48
17;331;0.25;241.48
1;356;0.0075188;256.48
2;173;0.00571429;256.48
3;727;0.0294118;256.48
4;652;0.00380228;256.48
5;744;0.0416667;256.48
6;93;0.047619;256.48
7;653;0.04;256.48
8;550;0.111111;256.48
9;736;0.333333;256.48
10;668;0.333333;256.48
11;336;0.05;256.48
12;265;0.0555556;256.48
13;539;0.0666667;256.48
14;353;0.0833333;256.48
15;179;0.1;256.48
16;331;0.25;256.48
1;643;0.037037;271.48
2;56;0.0232558;271.48
3;153;0.00483092;271.48
4;791;0.125;271.48
5;570;0.0714286;271.48
6;784;0.1;271.48
7;714;0.0833333;271.48
8;315;0.142857;271.48
9;492;0.0196078;271.48
10;744;0.0454545;271.48
11;697;0.0625;271.48
12;386;0.0625;271.48
13;353;0.0909091;271.48
14;653;0.0416667;271.48
15;438;0.0344828;271.48
16;265;0.05;271.48
17;218;0.125;271.48
18;331;0.25;271.48
19;49;0.333333;271.48
1;558;0.00206186;286.48
2;103;0.0416667;286.48
3;475;0.0555556;286.48
4;714;0.0666667;286.48
5;315;0.166667;286.48
6;232;0.00925926;286.48
7;171;0.0769231;286.48
8;457;0.0434783;286.48
9;353;0.0909091;286.48
10;220;0.0108696;286.48
11;265;0.0555556;286.48
12;336;0.05;286.48
13;68;0.0833333;286.48
14;331;0.333333;286.48
1;342;0.0285714;301.48
2;81;0.00458716;301.48
3;765;0.0526316;301.48
4;315;0.1;301.48
5;551;0.0416667;301.48
6;570;0.111111;301.48
7;744;0.166667;301.48
8;691;0.166667;301.48
9;704;0.0769231;301.48
10;608;0.0114943;301.48
11;594;0.125;301.48
12;589;0.25;301.48
13;265;0.05;301.48
14;475;0.2;301.48
15;371;0.0769231;301.48
16;277;0.25;301.48
1;458;0.00179211;316.48
2;714;0.0588235;316.48
3;775;0.0769231;316.48
4;305;0.0769231;316.48
5;457;0.05;316.48
6;545;0.0434783;316.48
7;704;0.2;316.48
8;419;0.0357143;316.48
9;539;0.0666667;316.48
10;309;0.1;316.48
11;366;0.333333;316.48
12;264;0.333333;316.48
1;86;0.00217865;331.48
