clusterID;selfID;representativenessValue;actualTime
1;492;0.944004;16.4805
2;91;0.943909;16.4805
3;82;0.970453;16.4805
4;89;0.907119;16.4805
5;398;0.911022;16.4805
6;24;0.91474;16.4805
7;278;0.98202;16.4805
8;30;0.855847;16.4805
9;336;0.889979;16.4805
10;307;0.851552;16.4805
11;459;0.934617;16.4805
12;309;0.813426;16.4805
13;33;0.961885;16.4805
14;370;0.845654;16.4805
15;355;0.997053;16.4805
16;423;0.987771;16.4805
17;19;0.873071;16.4805
18;120;0.988137;16.4805
19;420;0.973424;16.4805
20;226;0.799959;16.4805
21;474;0.788665;16.4805
22;283;0.985482;16.4805
23;202;0.813765;16.4805
24;266;0.984424;16.4805
25;335;0.761097;16.4805
26;417;0.88929;16.4805
27;11;0.868359;16.4805
28;206;0.938879;16.4805
29;160;0.663381;16.4805
30;102;0.951915;16.4805
31;279;0.949279;16.4805
32;76;0.689516;16.4805
33;292;0.913488;16.4805
34;475;0.548148;16.4805
35;318;0.697817;16.4805
1;25;0.995769;31.4805
2;37;0.995644;31.4805
3;423;0.973471;31.4805
4;615;0.995318;31.4805
5;163;0.967012;31.4805
6;137;0.956215;31.4805
7;583;0.959209;31.4805
8;335;0.756936;31.4805
1;608;0.998974;46.4805
2;258;0.988167;46.4805
3;569;0.944759;46.4805
4;474;0.985427;46.4805
5;472;0.711058;46.4805
1;402;0.975407;61.4805
2;141;0.999636;61.4805
3;770;0.850354;61.4805
4;274;0.9473;61.4805
5;271;0.991275;61.4805
6;151;0.977807;61.4805
7;601;0.597939;61.4805
8;386;0.992603;61.4805
1;630;0.99872;76.4805
2;503;0.968791;76.4805
3;607;0.955386;76.4805
4;508;0.980123;76.4805
5;320;0.949093;76.4805
1;438;0.999656;91.4805
2;795;0.891064;91.4805
3;563;0.998019;91.4805
4;386;0.954898;91.4805
5;53;0.982359;91.4805
6;510;0.920906;91.4805
7;472;0.7483;91.4805
8;781;0.628401;91.4805
1;218;0.967704;106.48
2;636;0.996968;106.48
3;200;0.999035;106.48
4;577;0.973494;106.48
5;628;0.988039;106.48
6;362;0.968695;106.48
7;472;0.905332;106.48
8;799;0.903117;106.48
9;230;0.956326;106.48
10;268;0.958462;106.48
11;605;0.85646;106.48
1;724;0.996056;121.48
2;474;0.976797;121.48
3;561;0.885988;121.48
4;524;0.998796;121.48
5;358;0.815361;121.48
6;243;0.922744;121.48
1;630;0.994598;136.48
2;765;0.998716;136.48
3;332;0.993902;136.48
4;258;0.873285;136.48
5;522;0.996417;136.48
6;494;0.85193;136.48
7;240;0.973541;136.48
8;299;0.9889;136.48
9;75;0.959435;136.48
10;119;0.695949;136.48
11;429;0.98583;136.48
12;391;0.697547;136.48
13;376;0.788448;136.48
1;586;0.997378;151.48
2;3;0.982907;151.48
3;740;0.984531;151.48
4;488;0.982265;151.48
5;320;0.973983;151.48
6;475;0.946537;151.48
7;366;0.993675;151.48
8;208;0.994313;151.48
9;319;0.970418;151.48
10;40;0.868295;151.48
11;494;0.955134;151.48
12;192;0.708888;151.48
13;600;0.769631;151.48
14;517;0.793866;151.48
15;179;0.995444;151.48
16;353;0.978848;151.48
1;93;0.9949;166.48
2;714;0.972012;166.48
3;474;0.965629;166.48
4;622;0.993316;166.48
5;55;0.832513;166.48
6;535;0.996973;166.48
7;236;0.98088;166.48
8;625;0.969498;166.48
9;506;0.896557;166.48
10;500;0.660479;166.48
11;552;0.883478;166.48
12;508;0.846592;166.48
13;402;0.731884;166.48
14;665;0.910907;166.48
1;78;0.990269;181.48
2;675;0.992798;181.48
3;151;0.962358;181.48
4;635;0.846034;181.48
5;255;0.994173;181.48
6;560;0.993064;181.48
7;236;0.988911;181.48
8;311;0.875436;181.48
9;264;0.963558;181.48
10;493;0.864175;181.48
11;218;0.811847;181.48
12;221;0.951055;181.48
1;456;0.986068;196.48
2;151;0.963308;196.48
3;616;0.995286;196.48
4;475;0.993667;196.48
5;81;0.96949;196.48
6;617;0.98188;196.48
7;737;0.97916;196.48
8;414;0.918848;196.48
9;225;0.98604;196.48
10;429;0.938402;196.48
11;162;0.945656;196.48
12;622;0.991028;196.48
13;285;0.779687;196.48
1;21;0.95828;211.48
2;66;0.92793;211.48
3;620;0.97534;211.48
4;251;0.92696;211.48
5;507;0.99142;211.48
6;233;0.883196;211.48
7;305;0.995668;211.48
8;662;0.994448;211.48
9;276;0.97758;211.48
10;389;0.907835;211.48
11;702;0.950045;211.48
12;404;0.996766;211.48
13;439;0.898245;211.48
14;508;0.805766;211.48
15;628;0.84898;211.48
16;162;0.875446;211.48
17;196;0.749152;211.48
1;425;0.970345;226.48
2;344;0.992233;226.48
3;558;0.996047;226.48
4;587;0.887414;226.48
5;522;0.99924;226.48
6;703;0.965966;226.48
7;759;0.995821;226.48
8;494;0.956408;226.48
9;236;0.988592;226.48
10;81;0.967832;226.48
11;320;0.951653;226.48
12;366;0.976585;226.48
13;308;0.876972;226.48
14;402;0.908359;226.48
15;429;0.983401;226.48
16;266;0.90571;226.48
17;331;0.926743;226.48
1;130;0.981229;241.48
2;714;0.952486;241.48
3;252;0.985821;241.48
4;219;0.99621;241.48
5;779;0.874606;241.48
6;775;0.919463;241.48
7;652;0.999767;241.48
8;202;0.955073;241.48
9;697;0.99816;241.48
10;269;0.882114;241.48
11;7;0.933248;241.48
12;624;0.687442;241.48
13;530;0.973841;241.48
14;301;0.888356;241.48
15;112;0.920723;241.48
16;414;0.835605;241.48
17;282;0.945599;241.48
18;429;0.755934;241.48
19;254;0.962359;241.48
1;299;0.990606;256.48
2;507;0.986113;256.48
3;311;0.964473;256.48
4;684;0.891274;256.48
5;153;0.971013;256.48
6;70;0.963772;256.48
7;138;0.990977;256.48
8;570;0.972409;256.48
9;309;0.970784;256.48
10;143;0.907359;256.48
11;240;0.865147;256.48
12;323;0.808153;256.48
13;312;0.957479;256.48
14;331;0.726629;256.48
1;299;0.966815;271.48
2;734;0.966945;271.48
3;484;0.987365;271.48
4;198;0.950606;271.48
5;130;0.963754;271.48
6;522;0.932747;271.48
7;459;0.966648;271.48
8;133;0.95097;271.48
9;538;0.966558;271.48
10;468;0.948467;271.48
11;766;0.886603;271.48
12;531;0.825235;271.48
13;539;0.841261;271.48
14;624;0.769783;271.48
15;353;0.996869;271.48
16;653;0.993659;271.48
17;140;0.989352;271.48
18;511;0.935221;271.48
19;218;0.907004;271.48
20;331;0.633867;271.48
1;3;0.998187;286.48
2;735;0.979188;286.48
3;686;0.894054;286.48
4;11;0.56222;286.48
5;58;0.949206;286.48
6;232;0.965178;286.48
7;237;0.974649;286.48
8;10;0.925928;286.48
9;362;0.922881;286.48
10;494;0.99405;286.48
11;222;0.96723;286.48
12;60;0.779285;286.48
13;358;0.862136;286.48
14;331;0.932345;286.48
1;155;0.97273;301.48
2;458;0.907677;301.48
3;510;0.922664;301.48
4;315;0.858332;301.48
5;664;0.807653;301.48
6;237;0.898538;301.48
7;168;0.962449;301.48
8;162;0.839893;301.48
9;429;0.865306;301.48
10;96;0.967496;301.48
11;626;0.9417;301.48
12;391;0.933364;301.48
13;301;0.905637;301.48
14;336;0.564981;301.48
15;264;0.594585;301.48
16;475;0.784006;301.48
1;182;0.999979;316.48
2;459;0.843354;316.48
3;315;0.841342;316.48
4;570;0.979231;316.48
5;103;0.942622;316.48
6;551;0.994556;316.48
7;360;0.983306;316.48
8;487;0.996519;316.48
9;140;0.984145;316.48
10;474;0.951464;316.48
11;309;0.913344;316.48
12;264;0.992678;316.48
1;514;0.999216;331.48
2;431;0.916922;331.48
3;91;0.907546;331.48
4;775;0.979518;331.48
5;570;0.842075;331.48
6;93;0.87055;331.48
7;608;0.987845;331.48
8;178;0.640295;331.48
9;349;0.856258;331.48
10;474;0.580154;331.48
11;331;0.997782;331.48
1;189;0.991649;346.48
2;218;0.970887;346.48
3;171;0.993826;346.48
4;220;0.922973;346.48
5;222;0.971741;346.48
6;402;0.703893;346.48
1;511;0.99077;361.48
2;360;0.699025;361.48
3;580;0.886677;361.48
4;96;0.999449;361.48
